LOINC_NUM,LONG_COMMON_NAME,reference_fact
30898-1,Plasma volume by Scintigraphy,Test: Plasma volume | System: ^Patient | Units: mL | Info: Total plasma volume determined using Iodine-125 labeled human serum albumin
32270-1,Serine [Moles/volume] in Body fluid,Test: Serine | System: Body fld | Units: umol/L | Info: 
32271-9,Taurine [Moles/volume] in Body fluid,Test: Taurine | System: Body fld | Units: umol/L | Info: 
32272-7,Threonine [Moles/volume] in Vitreous fluid,Test: Threonine | System: Vitr fld | Units: umol/L | Info: 
32273-5,Threonine [Moles/volume] in Body fluid,Test: Threonine | System: Body fld | Units: umol/L | Info: 
32274-3,Thiosulfate/Creatinine [Ratio] in Urine,Test: Thiosulfate/Creatinine | System: Urine | Units: mmol/mg creatinine | Info: 
32275-0,Tryptophan [Moles/volume] in Body fluid,Test: Tryptophan | System: Body fld | Units: umol/L | Info: 
32276-8,Tyrosine [Moles/volume] in Vitreous fluid,Test: Tyrosine | System: Vitr fld | Units: umol/L | Info: 
32277-6,Tyrosine [Moles/volume] in Body fluid,Test: Tyrosine | System: Body fld | Units: umol/L | Info: 
32278-4,Valine [Moles/volume] in Vitreous fluid,Test: Valine | System: Vitr fld | Units: umol/L | Info: 
32279-2,Valine [Moles/volume] in Body fluid,Test: Valine | System: Body fld | Units: umol/L | Info: 
32281-8,Carnitine free (C0)/Carnitine.total in Serum or Plasma,Test: Carnitine.free (C0)/Carnitine.total | System: Ser/Plas | Units: % | Info: 
32289-1,7-Dehydrocholesterol [Moles/volume] in Serum or Plasma,Test: 7-Dehydrocholesterol | System: Ser/Plas | Units: umol/L | Info: 
3229-2,Coagulation factor XI Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor XI Ag actual/Normal | System: PPP | Units: % | Info: 
32293-3,Albumin [Mass/volume] in Specimen,Test: Albumin | System: XXX | Units: g/L;gm/L | Info: 
32298-2,Amylase [Enzymatic activity/volume] in Specimen,Test: Amylase | System: XXX | Units: arb U/L | Info: 
3230-0,Coagulation factor XII inhibitor [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor XII inhibitor | System: PPP | Units: Bethesda Units | Info: 
32300-6,Base excess in Cord blood by calculation,Test: Base excess | System: BldCo | Units: mmol/L | Info: 
32303-0,Bilirubin.total [Moles/volume] in Specimen,Test: Bilirubin | System: XXX | Units: mmol/L | Info: 
32308-9,Cholesterol [Moles/volume] in Specimen,Test: Cholesterol | System: XXX | Units: mmol/L | Info: 
32318-8,Glucose [Moles/volume] in Specimen,Test: Glucose | System: XXX | Units: mmol/L | Info: 
32323-8,Ketones [Moles/volume] in Specimen,Test: Ketones | System: XXX | Units: mmol/L | Info: 
32324-6,Lactate dehydrogenase [Enzymatic activity/volume] in Specimen,Test: Lactate dehydrogenase | System: XXX | Units: arb U/L | Info: 
3232-6,Coagulation factor XII activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Coagulation factor XII activity actual/Normal | System: PPP | Units: % | Info: 
32334-5,Pipecolate [Moles/volume] in Serum or Plasma,Test: Pipecolate | System: Ser/Plas | Units: umol/L | Info: 
32335-2,Pipecolate [Moles/volume] in Urine,Test: Pipecolate | System: Urine | Units: umol/L | Info: 
32337-8,Protein [Mass/volume] in Specimen,Test: Protein | System: XXX | Units: g/L;gm/L | Info: 
32338-6,Pyruvate [Moles/volume] in Serum or Plasma,Test: Pyruvate | System: Ser/Plas | Units: mmol/L | Info: 
32341-0,Transcobalamin II [Moles/volume] in Serum,Test: Transcobalamin II | System: Ser | Units: pmol/L | Info: 
32343-6,Urate [Moles/volume] in Specimen,Test: Urate | System: XXX | Units: mmol/L | Info: 
32351-9,Alkaline phosphatase.heat labile [Enzymatic activity/volume] in Serum or Plasma by Heat stability,Test: Alkaline phosphatase.heat labile | System: Ser/Plas | Units: arb U/L | Info: 
32352-7,Alkaline phosphatase.heat stable [Enzymatic activity/volume] in Serum or Plasma by Heat stability,Test: Alkaline phosphatase.heat stable | System: Ser/Plas | Units: arb U/L | Info: 
3235-9,Coagulation factor XII Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor XII Ag actual/Normal | System: PPP | Units: % | Info: 
3237-5,Coagulation factor XIII activity [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Coagulation factor XIII activity | System: PPP | Units: arb U/mL | Info: 
3239-1,Coagulation factor XIII Ag actual/normal in Platelet poor plasma by Immunoassay,Test: Coagulation factor XIII Ag actual/Normal | System: PPP | Units: % | Info: 
3244-1,Clot Lysis [Time] in Platelet poor plasma by Coagulation assay,Test: Coagulum lysis | System: PPP | Units: min | Info: 
32540-7,Glucosylceramidase [Enzymatic activity/mass] in Leukocytes,Test: Glucosylceramidase | System: WBC | Units: nmol/h/mg protein | Info: 
32559-7,Tau protein [Mass/volume] in Serum,Test: Tau protein | System: Ser | Units: pg/mL | Info: 
3256-5,Fibrinogen Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinogen Ag | System: PPP | Units: mg/dL | Info: 
3260-7,Fibrinopeptide B beta (1-14) Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinopeptide B beta (1-14) Ag | System: PPP | Units: ng/mL | Info: 
32609-0,Amino acids [Moles/volume] in Body fluid,Test: Amino acids | System: Body fld | Units: mmol/L | Info: 
32610-8,Amino acids [Moles/volume] in Cerebral spinal fluid,Test: Amino acids | System: CSF | Units: mmol/L | Info: 
32611-6,Amino acids [Moles/volume] in Amniotic fluid,Test: Amino acids | System: Amnio fld | Units: mmol/L | Info: 
32612-4,Amino acids [Moles/volume] in Vitreous fluid,Test: Amino acids | System: Vitr fld | Units: mmol/L | Info: 
32613-2,Carnitine free (C0)/Carnitine.total in Urine,Test: Carnitine.free (C0)/Carnitine.total | System: Urine | Units: % | Info: 
32614-0,Glutamate [Moles/volume] in Body fluid,Test: Glutamate | System: Body fld | Units: umol/L | Info: 
3261-5,Fibrinopeptide B beta (1-42) Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinopeptide B beta (1-42) Ag | System: PPP | Units: ng/mL | Info: 
32615-7,Homocysteine cysteine disulfide [Moles/volume] in Serum or Plasma,Test: Homocysteine cysteine disulfide | System: Ser/Plas | Units: umol/L | Info: 
32616-5,Homocysteine cysteine disulfide/Creatinine [Ratio] in Urine,Test: Homocysteine cysteine disulfide/Creatinine | System: Urine | Units: umol/g creatinine | Info: 
32617-3,Ornithine carbamoyltransferase [Enzymatic activity/mass] in Tissue,Test: Ornithine carbamoyltransferase | System: Tiss | Units: umol/h/mg protein | Info: 
32618-1,3-Methoxytyramine [Mass/time] in 24 hour Urine,Test: 3-Methoxytyramine | System: Urine | Units: ug/24 H | Info: 
3262-3,Fibrinopeptide B beta (15-42) Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinopeptide B beta (15-42) Ag | System: PPP | Units: ng/mL | Info: 
32627-2,Argininosuccinate lyase [Enzymatic activity/mass] in Red Blood Cells,Test: Argininosuccinate lyase | System: RBC | Units: umol/h/g hb | Info: 
32629-8,Protein.monoclonal/Protein.total in Specimen by Immunofixation,Test: Protein.monoclonal/Protein.total | System: XXX | Units: % | Info: 
3263-1,Fibrinopeptide B beta (43-47) Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinopeptide B beta (43-47) Ag | System: PPP | Units: ng/mL | Info: 
32634-8,Metanephrine Free [Mass/time] in 24 hour Urine,Test: Metanephrine.free | System: Urine | Units: ug/24 H | Info: 
3264-9,Fibrinopeptide A Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinopeptide A Ag | System: PPP | Units: ng/mL | Info: 
3265-6,Fibrinopeptide B Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Fibrinopeptide B Ag | System: PPP | Units: ng/mL | Info: 
3268-0,Heparin cofactor II Ag [Mass/volume] in Platelet poor plasma by Immunoassay,Test: Heparin cofactor II Ag | System: PPP | Units: ug/mL | Info: 
32684-3,LMW Heparin [Units/volume] in Platelet poor plasma,Test: Heparin.low molecular weight | System: PPP | Units: arb U/mL | Info: 
32693-4,Lactate [Moles/volume] in Blood,Test: Lactate | System: Bld | Units: mmol/L | Info: 
32703-1,Cytochrome B5 reductase [Enzymatic activity/mass] in Red Blood Cells,Test: Cytochrome b5 reductase | System: RBC | Units: U/g Hb | Info: 
32713-0,Potassium [Moles/volume] in Arterial blood,Test: Potassium | System: BldA | Units: mmol/L | Info: 
32717-1,Sodium [Moles/volume] in Arterial blood,Test: Sodium | System: BldA | Units: mmol/L | Info: 
32722-1,Lipase [Enzymatic activity/volume] in Peritoneal fluid,Test: Triacylglycerol lipase | System: Periton fld | Units: arb U/L | Info: 
32728-8,Beta 1 globulin/Protein.total in Cerebral spinal fluid by Electrophoresis,Test: Beta 1 globulin/Protein.total | System: CSF | Units: % | Info: 
32729-6,Beta 2 globulin/Protein.total in Cerebral spinal fluid by Electrophoresis,Test: Beta 2 globulin/Protein.total | System: CSF | Units: % | Info: 
3273-0,Heparin unfractionated [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Heparin.unfractionated | System: PPP | Units: arb U/mL | Info: 
32730-4,Beta 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Test: Beta 1 globulin | System: Ser/Plas | Units: g/dL | Info: 
32731-2,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Test: Beta 2 globulin | System: Ser/Plas | Units: g/dL | Info: 
32732-0,Beta 1 globulin/Protein.total in Serum or Plasma by Electrophoresis,Test: Beta 1 globulin/Protein.total | System: Ser/Plas | Units: % | Info: 
32733-8,Beta 2 globulin/Protein.total in Serum or Plasma by Electrophoresis,Test: Beta 2 globulin/Protein.total | System: Ser/Plas | Units: % | Info: 
32735-3,Beta 2 globulin [Mass/time] in 24 hour Urine by Electrophoresis,Test: Beta 2 globulin | System: Urine | Units: g/24 H | Info: 
32736-1,Beta 1 globulin/Protein.total in Urine by Electrophoresis,Test: Beta 1 globulin/Protein.total | System: Urine | Units: % | Info: 
32737-9,Beta 2 globulin/Protein.total in Urine by Electrophoresis,Test: Beta 2 globulin/Protein.total | System: Urine | Units: % | Info: 
32738-7,Beta 1 globulin [Mass/volume] in Body fluid by Electrophoresis,Test: Beta 1 globulin | System: Body fld | Units: g/dL | Info: 
32739-5,Beta 2 globulin [Mass/volume] in Body fluid by Electrophoresis,Test: Beta 2 globulin | System: Body fld | Units: g/dL | Info: 
32740-3,Beta 1 globulin/Protein.total in Body fluid by Electrophoresis,Test: Beta 1 globulin/Protein.total | System: Body fld | Units: % | Info: 
32741-1,Beta 2 globulin/Protein.total in Body fluid by Electrophoresis,Test: Beta 2 globulin/Protein.total | System: Body fld | Units: % | Info: 
3276-3,Kininogen HMW [Units/volume] in Platelet poor plasma by Coagulation assay,Test: Kininogen.high molecular weight | System: PPP | Units: arb U/mL | Info: 
32771-8,Carbon dioxide [Partial pressure] adjusted to patient's actual temperature in Arterial blood,Test: Carbon dioxide^^adjusted to patient's actual temperature | System: BldA | Units: mm Hg | Info: 
32779-1,Glucose-6-Phosphatase [Enzymatic activity/volume] in Red Blood Cells,Test: Glucose-6-Phosphatase | System: RBC | Units: U/10*12 | Info: 
3278-9,Kininogen HMW actual/normal in Platelet poor plasma by Immunoassay,Test: Kininogen.high molecular weight actual/Normal | System: PPP | Units: % | Info: 
32799-9,Glycosaminoglycans/Creatinine [Mass Ratio] in Urine,Test: Glycosaminoglycans/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
3288-8,Prothrombin Ag [Units/volume] in Platelet poor plasma by Immunoassay,Test: Prothrombin Ag | System: PPP | Units: arb U/mL | Info: 
3289-6,Prothrombin activity actual/normal in Platelet poor plasma by Coagulation assay,Test: Prothrombin.activity actual/Normal | System: PPP | Units: % | Info: 
33007-6,Protoporphyrin.zinc [Mass/volume] in Blood,Test: Protoporphyrin.zinc | System: Bld | Units: ug/dL | Info: 
33017-5,Parasites [#/area] in Urine sediment by Microscopy low power field,Test: Parasites | System: Urine sed | Units: /LPF | Info: 
33019-1,Pseudocasts [#/area] in Urine sediment by Microscopy low power field,Test: Pseudocasts | System: Urine sed | Units: /LPF | Info: 
33020-9,Triple phosphate crystals [#/area] in Urine sediment by Microscopy low power field,Test: Triple phosphate crystals | System: Urine sed | Units: /LPF | Info: 
33021-7,Tyrosine crystals [#/area] in Urine sediment by Microscopy low power field,Test: Tyrosine crystals | System: Urine sed | Units: /LPF | Info: 
33031-6,Sodium urate crystals [#/area] in Urine sediment by Microscopy low power field,Test: Sodium urate crystals | System: Urine sed | Units: /LPF | Info: 
33036-5,Fatty acids.very long chain C26:1 (Hexacosenoate) [Moles/volume] in Serum or Plasma,Test: Fatty acids.very long chain.C26:1 | System: Ser/Plas | Units: umol/L | Info: 
33053-0,Protoporphyrin [Molar ratio] in Red Blood Cells,Test: Protoporphyrin | System: RBC | Units: umol/mol hb | Info: 
33058-9,Ketones [Mass/volume] in Serum or Plasma,Test: Ketones | System: Ser/Plas | Units: mg/dL | Info: 
33203-1,Amyloid beta 42 peptide [Mass/volume] in Cerebral spinal fluid,Test: Amyloid beta 42 peptide | System: CSF | Units: pg/mL | Info: 
33211-4,Interleukin 8 [Mass/volume] in Serum or Plasma,Test: Interleukin 8 | System: Ser/Plas | Units: pg/mL | Info: 
33214-8,Taurine [Moles/volume] in Vitreous fluid,Test: Taurine | System: Vitr fld | Units: mmol/L | Info: 
33220-5,Transitional cells [#/area] in Urine by Computer assisted method,Test: Transitional cells | System: Urine | Units: /HPF | Info: 
33221-3,Epithelial cells.renal [#/area] in Urine by Computer assisted method,Test: Epithelial cells.renal | System: Urine | Units: /HPF | Info: 
33228-8,WBC casts [#/area] in Urine by Computer assisted method,Test: Leukocyte casts | System: Urine | Units: /HPF | Info: 
33229-6,RBC casts [#/area] in Urine by Computer assisted method,Test: Erythrocyte casts | System: Urine | Units: /HPF | Info: 
33230-4,Waxy casts [#/area] in Urine by Computer assisted method,Test: Waxy casts | System: Urine | Units: /HPF | Info: 
33231-2,Fatty casts [#/area] in Urine by Computer assisted method,Test: Fatty casts | System: Urine | Units: /HPF | Info: 
33257-7,Cortisol [Mass/volume] in Cerebral spinal fluid,Test: Cortisol | System: CSF | Units: ug/dL | Info: 
33264-3,Osmol gap of Serum or Plasma,Test: Osmol gap | System: Ser/Plas | Units: mOsm/kg | Info: 
33273-4,3-Methylglutaconate [Moles/volume] in Serum or Plasma,Test: 3-Methylglutaconate | System: Ser/Plas | Units: nmol/L | Info: 
33341-9,Granular casts [#/area] in Urine by Computer assisted method,Test: Granular casts | System: Urine | Units: /HPF | Info: 
33343-5,Leukotriene E4/Creatinine [Mass Ratio] in Urine,Test: Leukotriene E4/Creatinine | System: Urine | Units: pg/mg creatinine | Info: 
33344-3,Leukotriene E4 [Mass/volume] in Urine,Test: Leukotriene E4 | System: Urine | Units: pg/mL | Info: 
33347-6,17-Ketosteroids/Creatinine [Mass Ratio] in Urine,Test: 17-Ketosteroids/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
33351-8,11-Dehydro thromboxane beta 2 [Mass/volume] in Urine,Test: 11-Dehydro thromboxane beta 2 | System: Urine | Units: pg/mL | Info: 
33352-6,Glucose/Creatinine [Mass Ratio] in Urine,Test: Glucose/Creatinine | System: Urine | Units: mg/g creatinine | Info: 
33353-4,Alanine aminopeptidase [Enzymatic activity/volume] in Urine,Test: Alanine aminopeptidase | System: Urine | Units: arb U/mL | Info: 
33354-2,N-acetyl-beta-glucosaminidase [Enzymatic activity/volume] in Urine,Test: N-acetyl-beta-glucosaminidase | System: Urine | Units: arb U/mL | Info: 
33358-3,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,Test: Protein.monoclonal | System: Ser/Plas | Units: g/L;g/dL | Info: 
33366-6,Chloride [Moles/volume] in Peritoneal fluid,Test: Chloride | System: Periton fld | Units: mmol/L | Info: 
33368-2,Amylase [Enzymatic activity/volume] in Pericardial fluid,Test: Amylase | System: Pericard fld | Units: arb U/L | Info: 
33405-2,Glucose [Mass/volume] in Pericardial fluid,Test: Glucose | System: Pericard fld | Units: mg/dL | Info: 
33407-8,Protein [Mass/volume] in Pericardial fluid,Test: Protein | System: Pericard fld | Units: g/L;g/dL | Info: 
33413-6,Lipoprotein.beta/total Lipoprotein in Pleural fluid,Test: Lipoprotein.beta/Lipoprotein.total | System: Plr fld | Units: % | Info: 
33414-4,Lipoprotein.pre-beta/total Lipoprotein in Pleural fluid,Test: Lipoprotein.pre-beta/Lipoprotein.total | System: Plr fld | Units: % | Info: 
33421-9,Alkaline phosphatase.other fractions [Enzymatic activity/volume] in Serum or Plasma,Test: Alkaline phosphatase.other fractions | System: Ser/Plas | Units: arb U/L | Info: 
33458-1,Bilirubin.conjugated [Mass/volume] in Body fluid,Test: Bilirubin.glucuronidated | System: Body fld | Units: mg/dL | Info: 
33467-2,Prealbumin [Mass/volume] in Cord blood,Test: Prealbumin | System: BldCo | Units: mg/dL | Info: 
33524-0,Clot Lysis [Time] in Control Platelet poor plasma by Coagulation assay,Test: Coagulum lysis | System: PPP^Control | Units: h | Info: 
33547-1,Creatine Kinase aberrant band/Creatine kinase.total in Serum or Plasma by Electrophoresis,Test: Creatine kinase.aberrant band/Creatine kinase.total | System: Ser/Plas | Units: % | Info: 
33559-6,Kappa light chains/Lambda light chains [Mass Ratio] in Urine,Test: Immunoglobulin light chains.kappa/Immunoglobulin light chains.lambda | System: Urine | Units: ratio | Info: 
33588-5,Phosphatidylethanolamine Ab [Units/volume] in Serum by Immunoassay,Test: Phosphatidylethanolamine Ab | System: Ser | Units: EIA units | Info: 
33589-3,Phosphatidylinositol Ab [Units/volume] in Serum by Immunoassay,Test: Phosphatidylinositol Ab | System: Ser | Units: EIA units | Info: 
33614-9,Transferrin.carbohydrate deficient.XXX/Transferrin.total in Serum or Plasma,Test: Transferrin.carbohydrate deficient.XXX/Transferrin.total | System: Ser/Plas | Units: % | Info: 
33618-0,Coproporphyrin 3/Coproporphyrin 1 [Mass Ratio] in 24 hour Stool,Test: Coproporphyrin 3/Coproporphyrin 1 | System: Stool | Units: ratio | Info: 
33619-8,Deuteroporphyrin.semi-proto [Mass/time] in 24 hour Stool,Test: Deuteroporphyrin.semi-proto | System: Stool | Units: ug/24 H | Info: 
33620-6,Tricarboxylporphyrin 1 [Mass/time] in 24 hour Stool,Test: Tricarboxylporphyrin 1 | System: Stool | Units: ug/24 H | Info: 
33621-4,Tricarboxylporphyrin 3 [Mass/time] in 24 hour Stool,Test: Tricarboxylporphyrin 3 | System: Stool | Units: ug/24 H | Info: 
33622-2,Isotricarboxylporphyrin [Mass/time] in 24 hour Stool,Test: Isotricarboxylporphyrin | System: Stool | Units: ug/24 H | Info: 
33623-0,Pentacarboxylporphyrin I [Mass/time] in 24 hour Stool,Test: Pentacarboxylporphyrin I | System: Stool | Units: ug/24 H | Info: 
33624-8,Pentacarboxylporphyrin III [Mass/time] in 24 hour Stool,Test: Pentacarboxylporphyrin III | System: Stool | Units: ug/24 H | Info: 
33625-5,Isocoproporphyrin [Mass/time] in 24 hour Stool,Test: Isocoproporphyrin | System: Stool | Units: ug/24 H | Info: 
